Threshold,MAE,MSE,RMSE,R2
0.0,0.966824644549763,3.214691943127962,1.7929562022336079,0.3335866041321539
0.01,0.9137440758293839,2.9578199052132703,1.7198313595272272,0.3868367973446517
0.02,0.8862559241706162,2.8118483412322273,1.6768566847623643,0.41709705474215975
0.03,0.8701421800947867,2.7360189573459714,1.6540915807010117,0.43281666897463145
0.04,0.8492890995260663,2.614691943127962,1.6170009100578646,0.45796805174658606
0.05,0.8341232227488151,2.537914691943128,1.5930833913964229,0.47388416115696363
0.06,0.8236966824644549,2.4734597156398106,1.5727236615628986,0.4872458332545646
0.07,0.8123222748815165,2.4270142180094787,1.557887742428664,0.4968740969719535
0.08,0.7990521327014218,2.33696682464455,1.5287141082113915,0.5155411388730136
0.09,0.785781990521327,2.261137440758294,1.503707897418343,0.5312607531054853
0.1,0.7781990521327015,2.1938388625592418,1.4811613222600846,0.5452119107368039
0.11,0.7677725118483413,2.1511848341232227,1.4666917992963697,0.5540541937425691
0.12,0.7545023696682465,2.0971563981042656,1.448156206389444,0.5652544188832053
0.13,0.7440758293838863,2.051658767772512,1.4323612560288386,0.5746861874226883
0.14,0.728909952606635,1.9748815165876776,1.4053047771169347,0.5906022968330658
0.15,0.7175355450236967,1.9227488151658767,1.3866321845269123,0.6014095316178901
0.16,0.7004739336492891,1.8355450236966824,1.3548228753961464,0.6194870879852326
0.17,0.6853080568720379,1.7739336492890996,1.3318910050334822,0.6322592745491158
0.18,0.6748815165876777,1.7530805687203792,1.324039489109135,0.6365821684630455
0.19,0.6663507109004739,1.7056872037914692,1.306019603142108,0.6464069273583403
0.2,0.6606635071090048,1.6744075829383887,1.293989019635943,0.6528912682292348
0.21,0.6492890995260664,1.627962085308057,1.2759161748751588,0.6625195319466237
0.22,0.6369668246445498,1.5796208530805687,1.2568296834020785,0.6725407860198245
0.23,0.6350710900473934,1.567298578199052,1.251917959851624,0.6750952233326011
0.24,0.623696682464455,1.509478672985782,1.2286084294785633,0.6870814291848607
0.25,0.614218009478673,1.4772511848341232,1.2154222249219089,0.6937622652336612
0.26,0.6018957345971564,1.432701421800948,1.196955062565403,0.7029975385952383
0.27,0.5924170616113744,1.385308056872038,1.1769911031405624,0.7128222974905332
0.28,0.5791469194312796,1.3407582938388625,1.1579111770074864,0.7220575708521102
0.29,0.5781990521327014,1.323696682464455,1.1505201790774706,0.7255944840544164
0.3,0.571563981042654,1.2924170616113744,1.136845223243417,0.732078824925311
0.31,0.5706161137440758,1.2696682464454976,1.1267955655066706,0.7367947091950524
0.32,0.5725118483412323,1.2725118483412323,1.1280566689405422,0.7362052236613348
0.33,0.5649289099526066,1.2450236966824644,1.1158062989078634,0.7419035838206056
0.34,0.5620853080568721,1.2308056872037916,1.1094168230218036,0.7448510114891942
0.35000000000000003,0.5507109004739337,1.1824644549763033,1.087411814804448,0.7548722655623948
0.36,0.547867298578199,1.1701421800947867,1.081731103414701,0.7574267028751714
0.37,0.5393364928909953,1.1473933649289099,1.071164490136277,0.762142587144913
0.38,0.5345971563981042,1.1322274881516587,1.0640617877509082,0.7652865099914073
0.39,0.5279620853080569,1.1085308056872039,1.052867895648454,0.7701988894390547
0.4,0.5203791469194313,1.095260663507109,1.04654701925289,0.7729498219297373
0.41000000000000003,0.5260663507109005,1.1028436018957346,1.0501636072040084,0.77137786050649
0.42,0.5289099526066351,1.104739336492891,1.0510658097820949,0.7709848701506783
0.43,0.5308056872037915,1.0990521327014218,1.0483568727782642,0.7721638412181137
0.44,0.5308056872037915,1.1028436018957346,1.0501636072040084,0.77137786050649
0.45,0.5308056872037915,1.1075829383886255,1.0524176634723619,0.7703953846169607
0.46,0.533649289099526,1.1151658767772512,1.0560141461066,0.7688234231937134
0.47000000000000003,0.5383886255924171,1.1075829383886255,1.0524176634723619,0.7703953846169607
0.48,0.5402843601895735,1.1113744075829384,1.0542174384741216,0.769609403905337
0.49,0.5497630331753555,1.1208530805687205,1.058703490392244,0.7676444521262781
