Threshold,MAE,MSE,RMSE,R2
0.0,0.5657355679702049,1.8502793296089386,1.3602497306042514,0.5261259556689742
0.01,0.5575418994413408,1.8294227188081937,1.352561539749003,0.5314675310479069
0.02,0.5527001862197393,1.8160148975791435,1.3475959697101885,0.5349014009343636
0.03,0.5486033519553073,1.8040968342644321,1.3431667187153022,0.5379537297223251
0.04,0.5459962756052141,1.7932960893854748,1.3391400559259943,0.5407199026864153
0.05,0.5433891992551211,1.7858472998137802,1.3363559779541454,0.5426276081788912
0.06,0.5407821229050279,1.7769087523277467,1.333007408954559,0.5449168547698624
0.07,0.5381750465549349,1.764245810055866,1.3282491521005635,0.5481599541070714
0.08,0.536685288640596,1.7575418994413408,1.3257231609356988,0.5498768890502999
0.09,0.5329608938547487,1.747486033519553,1.3219251240216114,0.5524522914651424
0.1,0.531098696461825,1.7396648044692737,1.3189635341696426,0.5544553822322421
0.11,0.5266294227188082,1.7270018621973928,1.3141544285955866,0.5576984815694512
0.12,0.5251396648044693,1.7210428305400371,1.3118852200326205,0.559224645963432
0.13,0.5232774674115456,1.7147113594040968,1.3094698772419688,0.5608461956320365
0.14,0.5236499068901304,1.7180633147113593,1.3107491425560267,0.5599877281604224
0.15,0.5199255121042831,1.705027932960894,1.305767181759786,0.5633262127722553
0.16,0.5135940409683426,1.6927374301675977,1.3010524317519252,0.5664739268348407
0.17,0.511731843575419,1.6901303538175048,1.3000501351169134,0.5671416237572071
0.18,0.5113594040968342,1.6875232774674116,1.2990470651471453,0.5678093206795738
0.19,0.511731843575419,1.687150837988827,1.2989037062033608,0.5679047059541975
0.2,0.5106145251396648,1.6864059590316574,1.2986169408380814,0.5680954765034452
0.21,0.5102420856610801,1.6849162011173184,1.298043220049825,0.5684770176019402
0.22,0.5091247672253258,1.6837988826815642,1.297612762992706,0.5687631734258117
0.23,0.5076350093109869,1.681564245810056,1.2967514202074566,0.5693354850735546
0.24,0.5057728119180633,1.6770949720670392,1.2950270159603001,0.5704801083690401
0.25,0.5054003724394786,1.6741154562383613,1.2938761363586397,0.5712431905660305
0.26,0.503538175046555,1.670391061452514,1.2924360956939085,0.5721970433122685
0.27,0.5031657355679702,1.6718808193668528,1.2930123044143287,0.5718155022137732
0.28,0.502048417132216,1.6681564245810057,1.2915713006183613,0.5727693549600112
0.29,0.4998137802607076,1.664804469273743,1.290273021214403,0.5736278224316254
0.3,0.4986964618249534,1.6644320297951583,1.2901286873002857,0.5737232077062492
0.31,0.4994413407821229,1.664804469273743,1.290273021214403,0.5736278224316254
0.32,0.4986964618249534,1.6640595903165736,1.289984337236919,0.573818592980873
0.33,0.49906890130353815,1.6659217877094972,1.2907059261154328,0.573341666607754
0.34,0.5009310986964618,1.6700186219739293,1.292292003369954,0.5722924285868922
0.35000000000000003,0.5027932960893855,1.6774674115456238,1.295170804004485,0.5703847230944163
0.36,0.5054003724394786,1.685661080074488,1.2983301121342323,0.5682862470526927
0.37,0.5083798882681564,1.6912476722532588,1.3004797854073928,0.5668554679333357
0.38,0.5128491620111731,1.71024208566108,1.3077622435523515,0.5619908189275221
0.39,0.5202979515828677,1.7303538175046556,1.3154291381540306,0.556840014097837
0.4,0.5232774674115456,1.7400372439478584,1.3191047130337525,0.5543599969576183
0.41000000000000003,0.5247672253258845,1.7430167597765363,1.3202336004573343,0.5535969147606279
0.42,0.5299813780260708,1.7582867783985103,1.3260040642466033,0.5496861185010522
0.43,0.536685288640596,1.7757914338919925,1.3325882461930965,0.5452030105937338
0.44,0.539292364990689,1.7839851024208566,1.3356590517122462,0.5431045345520102
0.45,0.547486033519553,1.8007448789571694,1.3419183577837994,0.5388121971939392
0.46,0.5523277467411546,1.815270018621974,1.347319568113658,0.5350921714836112
0.47000000000000003,0.5582867783985103,1.8335195530726256,1.3540751652226053,0.5304182930270451
0.48,0.5646182495344506,1.8584729981378025,1.363258228707167,0.5240274796272507
0.49,0.5720670391061452,1.8815642458100559,1.3717012232297732,0.5181135926005753
0.5,0.5791433891992551,1.908752327746741,1.3815760303894755,0.5111504675530381
0.51,0.5884543761638734,1.9486033519553072,1.395923834582427,0.5009442431682918
0.52,0.595903165735568,1.9746741154562384,1.4052309829548444,0.4942672739446259
0.53,0.6037243947858473,2.0063314711359403,1.416450306624253,0.48615952560160314
0.54,0.615270018621974,2.0458100558659216,1.430318165956764,0.4760486864914806
0.55,0.626070763500931,2.0871508379888266,1.4446974901303133,0.4654609210082391
0.56,0.6346368715083799,2.1180633147113594,1.455356765439787,0.4575439432144639
0.5700000000000001,0.6450651769087523,2.1567970204841713,1.4686037656509572,0.447623874653589
0.58,0.6525139664804469,2.1914338919925513,1.4803492466281567,0.43875304411357574
0.59,0.6707635009310987,2.252141527001862,1.5007136725577808,0.4232052443498968
0.6,0.6837988826815642,2.3109869646182495,1.5201930682049072,0.4081343709593368
0.61,0.6994413407821229,2.3772811918063317,1.5418434394601586,0.3911557920763009
0.62,0.7121042830540038,2.427188081936685,1.5579435426024542,0.37837416527671197
0.63,0.725512104283054,2.4849162011173185,1.5763616974277568,0.36358944771002344
0.64,0.7370577281191807,2.5404096834264434,1.5938662689907341,0.34937704179107754
0.65,0.7463687150837989,2.589944134078212,1.6093303371521375,0.33669080026611253
0.66,0.7605214152700186,2.65512104283054,1.6294542162425245,0.319998377206948
